,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Coordinates,Latitude,Longitude
10,1100.0,3,2.0,Semi-Furnished,Rohini Sector 20,1.0,6200000,Ready_to_move,New_Property,Builder_Floor,"Sector 20, Rohini, North West Delhi, Delhi, India",28.71019465,77.070927124576
11,870.0,3,2.0,Semi-Furnished,Rohini Sector 25,1.0,7700000,Ready_to_move,New_Property,Builder_Floor,"Sector 25, Rohini, North West Delhi, Delhi, India",28.7342953,77.0940389660026
12,630.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,5500000,Ready_to_move,New_Property,Builder_Floor,"Sector 24, Rohini, North West Delhi, Delhi, India",28.7283255,77.0879055202797
13,660.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,5000000,Ready_to_move,Resale,Builder_Floor,"Sector 24, Rohini, North West Delhi, Delhi, India",28.7283255,77.0879055202797
14,344.4448,2,2.0,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1.0,3310000,Ready_to_move,Resale,Builder_Floor,,,
15,660.0,2,2.0,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1.0,4700000,Ready_to_move,New_Property,Builder_Floor,,,
16,550.0,2,2.0,Semi-Furnished,Rohini Sector 22,1.0,4500000,Ready_to_move,New_Property,Builder_Floor,"Sector 22, Rohini, North West Delhi, Delhi, India",28.71874945,77.0609462451504
17,1100.0,4,3.0,Semi-Furnished,Rohini Sector 16,1.0,17000000,Ready_to_move,New_Property,Builder_Floor,"Sector 16, Rohini, North Delhi, Delhi, 110089, India",28.73716325,77.1228283104382
18,1150.0,3,3.0,Semi-Furnished,Rohini Sector 14,1.0,25000000,Ready_to_move,Resale,Apartment,"Sector 14, Rohini, North Delhi, Delhi, India",28.71219355,77.1329424247492
19,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,6000000,Ready_to_move,Resale,Builder_Floor,"Sector 24, Rohini, North West Delhi, Delhi, India",28.7283255,77.0879055202797
20,850.0,2,2.0,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1.0,11000000,Ready_to_move,Resale,Apartment,,,
21,900.0,3,2.0,Semi-Furnished,"Vijay Vihar, Rohini",5.0,4500000,Ready_to_move,Resale,Builder_Floor,,,
22,430.556,1,1.0,Furnished,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2.0,5300000,Ready_to_move,Resale,Apartment,,,
23,900.0,2,2.0,Semi-Furnished,"Prashant Vihar, Rohini",1.0,10500000,Ready_to_move,Resale,Apartment,,,
24,914.9315,2,2.0,Semi-Furnished,Rohini Sector 5,1.0,12000000,Ready_to_move,Resale,Builder_Floor,"Sector 5, Rohini, North West Delhi, Delhi, India",28.7183155,77.1076880786281
25,1100.0,3,3.0,Furnished,Rohini Sector 20,1.0,7000000,Ready_to_move,New_Property,Builder_Floor,"Sector 20, Rohini, North West Delhi, Delhi, India",28.71019465,77.070927124576
26,800.0,3,2.0,Semi-Furnished,Rohini Sector 25,1.0,7000000,Ready_to_move,Resale,Builder_Floor,"Sector 25, Rohini, North West Delhi, Delhi, India",28.7342953,77.0940389660026
27,500.0,1,1.0,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1.0,3400000,Ready_to_move,Resale,Apartment,,,
28,28.0,2,2.0,Furnished,Rohini Sector 25,1.0,5000000,Ready_to_move,New_Property,Apartment,"Sector 25, Rohini, North West Delhi, Delhi, India",28.7342953,77.0940389660026
29,2160.0,4,4.0,Furnished,Rohini Sector 19,1.0,21000000,Ready_to_move,New_Property,Builder_Floor,"Sector 19, Rohini, North Delhi, Delhi, India",28.7322834,77.138798919337
30,1500.0,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
31,800.0,2,2.0,Unfurnished,Lajpat Nagar 1,1.0,15000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar I, South East Delhi, Delhi, India",28.5759226,77.2423389
32,900.0,2,2.0,Unfurnished,Lajpat Nagar,1.0,10500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
33,1080.0,3,2.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1.0,22500000,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar IV, South East Delhi, Delhi, India",28.564122,77.2372705
34,750.0,2,2.0,Unfurnished,Lajpat Nagar 4,1.0,13600000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
35,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
36,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,1.0,13500000,Ready_to_move,New_Property,Apartment,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
37,810.0,2,2.0,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1.0,8910000,Ready_to_move,Resale,Builder_Floor,,,
38,1350.0,3,4.0,Unfurnished,Lajpat Nagar,1.0,25000000,Ready_to_move,Resale,Apartment,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
39,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
40,1650.0,3,3.0,Semi-Furnished,Lajpat Nagar,1.0,30000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
41,1280.0,2,2.0,Furnished,Lajpat Nagar,1.0,12500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
42,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
43,1130.0,2,2.0,Unfurnished,Lajpat Nagar 4,1.0,7800000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
44,600.0,2,2.0,Semi-Furnished,"Amar Colony, Lajpat Nagar",1.0,11500000,Ready_to_move,New_Property,Builder_Floor,"Amar Colony, Lajpat Nagar IV, South East Delhi, Delhi, India",28.5615391,77.2431499
45,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,1.0,11500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar I, South East Delhi, Delhi, India",28.5759226,77.2423389
46,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
47,900.0,2,2.0,Semi-Furnished,"Amar Colony, Lajpat Nagar",2.0,13000000,Ready_to_move,New_Property,Builder_Floor,"Amar Colony, Lajpat Nagar IV, South East Delhi, Delhi, India",28.5615391,77.2431499
48,1000.0,3,3.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1.0,22000000,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar IV, South East Delhi, Delhi, India",28.564122,77.2372705
49,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15800000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
50,2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,2.0,57500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
51,900.0,2,2.0,Unfurnished,Lajpat Nagar 1,2.0,10000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar I, South East Delhi, Delhi, India",28.5759226,77.2423389
52,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
53,1143.0,3,3.0,Unfurnished,"Vikram Vihar, Lajpat Nagar",2.0,22000000,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar IV, South East Delhi, Delhi, India",28.564122,77.2372705
54,1150.0,3,3.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2.0,24000000,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar IV, South East Delhi, Delhi, India",28.564122,77.2372705
55,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,31500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
56,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,14600000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
57,8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,1.0,240000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
58,890.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,1.0,8300000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar I, South East Delhi, Delhi, India",28.5759226,77.2423389
59,1100.0,3,3.0,Unfurnished,"Vikram Vihar, Lajpat Nagar",1.0,22500000,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar IV, South East Delhi, Delhi, India",28.564122,77.2372705
60,750.0,1,1.0,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2.0,4600000,Ready_to_move,Resale,Apartment,,,
61,850.0,2,1.0,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2.0,1900000,Ready_to_move,New_Property,Apartment,,,
62,1350.0,3,2.0,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1.0,5130000,Ready_to_move,New_Property,Apartment,,,
63,1387.0,4,4.0,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1.0,5890000,Ready_to_move,New_Property,Apartment,,,
64,1050.0,3,2.0,Unfurnished,"The Elite Spire, Dwarka Sector 21",1.0,3700000,Ready_to_move,New_Property,Apartment,,,
65,1500.0,3,2.0,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1.0,17400000,Ready_to_move,Resale,Apartment,,,
66,1200.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1.0,15500000,Ready_to_move,Resale,Apartment,,,
67,700.0,2,1.0,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1.0,2400000,Almost_ready,New_Property,Apartment,,,
68,1700.0,3,2.0,Semi-Furnished,"Sunny Valley Apartments, Dwarka",1.0,17200000,Ready_to_move,Resale,Apartment,,,
69,1550.0,3,2.0,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",2.0,14200000,Ready_to_move,Resale,Apartment,,,
70,1400.0,3,3.0,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1.0,13500000,Ready_to_move,Resale,Apartment,,,
71,1900.0,4,4.0,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",1.0,30000000,Ready_to_move,Resale,Apartment,,,
72,2160.0,4,3.0,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",1.0,21000000,Ready_to_move,Resale,Apartment,,,
73,1700.0,4,3.0,Unfurnished,"Neelachal, Dwarka Sector 5",1.0,20500000,Ready_to_move,Resale,Apartment,,,
74,1850.0,3,4.0,Semi-Furnished,Dwarka,1.0,24000000,Ready_to_move,Resale,Apartment,"Dwarka, Okhamandal Taluka, Devbhumi Dwaraka District, Gujarat, 361335, India",22.2471009,68.9742446
75,1800.0,4,2.0,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",1.0,16500000,Ready_to_move,Resale,Apartment,,,
76,1620.0,3,2.0,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",1.0,14900000,Ready_to_move,Resale,Apartment,,,
77,1800.0,4,3.0,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1.0,19200000,Ready_to_move,Resale,Apartment,,,
78,1540.0,3,3.0,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1.0,14500000,Ready_to_move,Resale,Apartment,,,
79,1600.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka",1.0,15600000,Ready_to_move,Resale,Apartment,,,
80,1400.0,3,2.0,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",1.0,11400000,Ready_to_move,Resale,Apartment,,,
81,2300.0,4,4.0,Furnished,"Mohinder Apartments, Dwarka",1.0,31500000,Ready_to_move,Resale,Apartment,,,
82,1560.0,3,2.0,Furnished,"Ashoka Apartments, Dwarka Sector 12",2.0,15800000,Ready_to_move,Resale,Apartment,,,
83,1500.0,3,3.0,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",2.0,16000000,Ready_to_move,Resale,Apartment,,,
84,1540.0,3,3.0,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1.0,14500000,Ready_to_move,Resale,Apartment,,,
85,1050.0,2,2.0,Unfurnished,"LNT Apartments, Dwarka",1.0,10500000,Ready_to_move,Resale,Apartment,,,
86,1800.0,3,2.0,Semi-Furnished,Dwarka Sector 4,1.0,14800000,Ready_to_move,Resale,Apartment,"Sector 4, Dwarka, West Delhi, Delhi, India",28.6017004,77.0489717
87,400.0,1,1.0,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1.0,1850000,Ready_to_move,New_Property,Builder_Floor,,,
88,1150.0,3,2.0,Semi-Furnished,Dwarka Sector 16B,1.0,6800000,Ready_to_move,New_Property,Builder_Floor,"Dwarka, Sector 19, Dwarka, South West Delhi, Delhi, 110077, India",28.5771915,77.0442935
89,1525.0,3,3.0,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1.0,14200000,Ready_to_move,Resale,Apartment,,,
90,900.0,1,1.0,Semi-Furnished,Lajpat Nagar 3,,8900000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
91,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,37500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
92,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
93,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,21000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
94,2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,2.0,57500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
95,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
96,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
97,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,31500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
98,2200.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
99,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,41500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
100,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,24800000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
101,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,35000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
102,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,40000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
103,2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,1.0,46000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
104,2700.0,4,4.0,Semi-Furnished,Lajpat Nagar 3,2.0,55000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
105,1400.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,24500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
106,1800.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,24500000,Ready_to_move,Resale,Apartment,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
107,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,32500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
108,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,20000000,Ready_to_move,Resale,Apartment,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
109,8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,1.0,240000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar, Mahatma Gandhi Marg, East of Kailash, South East Delhi, Delhi, 110024, India",28.5654623,77.2456272
110,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,20000000,Ready_to_move,Resale,Apartment,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
111,1700.0,3,3.0,Furnished,Lajpat Nagar 3,2.0,19000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
112,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,26000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
114,1700.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,27500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
115,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,32500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
116,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,45000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
118,1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,28000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
119,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,29500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar III, South East Delhi, Delhi, India",28.5678755,77.2404914
120,1500.0,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
121,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,14000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
122,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
123,1350.0,2,2.0,Furnished,Lajpat Nagar 2,4.0,12500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
124,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
125,750.0,2,2.0,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2.0,11500000,Ready_to_move,New_Property,Builder_Floor,,,
126,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,14600000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
127,1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25500000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
128,1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,31000000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
129,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,22000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
130,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,13400000,Ready_to_move,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
131,1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,35000000,Almost_ready,New_Property,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
132,900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,11000000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
133,900.0,2,2.0,Unfurnished,"Vinoba Puri, Lajpat Nagar",2.0,6300000,Ready_to_move,Resale,Builder_Floor,,,
134,900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,12500000,Ready_to_move,Resale,Builder_Floor,"Lajpat Nagar II, South East Delhi, Delhi, 110024, India",28.5700938,77.2431796
